rider_slug,rank,pcs_points
andrei-kivilev,35,843
juan-carlos-dominguez,36,841
michele-bartoli,37,834
danilo-di-luca,38,829
laurent-brochard,39,811
serge-baguet,40,810
gianni-faresin,41,793
marcos-antonio-serrano,42,785
rik-verbrugghe,43,785
juan-miguel-mercado,44,772
david-moncoutie,45,772
patrice-halgand,46,761
serhiy-honchar,47,759
levi-leipheimer,48,756
daniele-nardello,49,731
gianluca-bortolami,50,730
mario-aerts,51,723
oscar-freire,52,722
andrej-hauptman,53,715
chris-peers,54,714
stefano-garzelli,55,701
jose-bento-carvalho-de-azevedo,56,684
david-plaza-romero,57,677
markus-zberg,58,671
servais-knaven,59,669
roberto-heras,60,669
jose-maria-jimenez,61,665
lance-armstrong,62,656
peter-van-petegem,63,648
fernando-escartin,64,639
andrei-tchmil,65,635
felix-manuel-garcia-casas,66,614
angel-luis-casero,67,611
sven-teutenberg,68,602
iban-mayo,69,601
mirko-celestino,70,601
endrio-leoni,71,596
benoit-salmon,72,595
arvis-piziks,73,595
dmitri-konychev,74,580
manuel-beltran,75,575
eddy-mazzoleni,76,574
damien-nazon,77,572
aitor-gonzalez-jimenez,78,569
jose-luis-rubiera,79,562
paolo-savoldelli,80,556
francisco-mancebo,81,549
jorg-jaksche,82,542
paolo-lanfranchi,83,537
leon-van-bon,84,535
roberto-laiseka-jaio,85,531
thor-hushovd,86,527
unai-osa,87,522
laszlo-bodrogi,88,518
jakob-piil,89,513
stephane-heulot,90,511
bobby-julich,91,510
cadel-evans,92,510
scott-sunderland,93,507
massimo-donati,94,500
jan-svorada-1,95,497
paul-van-hyfte,96,492
bart-voskamp,97,489
richard-virenque,98,487
abraham-olano-manzano,99,487
bradley-mcgee,100,487
robbie-mcewen,1,2221.0
erik-zabel,2,2213.0
mario-cipollini,3,1939.0
paolo-bettini,4,1771.0
dario-frigo,5,1644.0
joseba-beloki,6,1479.6
aitor-gonzalez-jimenez,7,1473.0
davide-rebellin,8,1466.0
francesco-casagrande,9,1457.0
roberto-heras,10,1282.9
michael-boogerd,11,1267.0
santiago-botero,12,1259.0
michele-bartoli,13,1243.0
laurent-jalabert,14,1228.3
danilo-di-luca,15,1210.0
baden-cooke,16,1196.0
alex-zulle,17,1055.0
alessandro-petacchi,18,1028.0
johan-museeuw,19,1004.0
oscar-freire,20,981.5
laurent-brochard,21,981.0
peter-van-petegem,22,949.0
lance-armstrong,23,945.0
ivan-basso,24,922.2
igor-gonzalez-de-galdeano,25,910.6
raimondas-rumsas-1,26,906.5
erik-dekker,27,898.0
francisco-mancebo,28,867.0
cadel-evans,29,865.0
jo-planckaert,30,827.0
mario-aerts,31,822.0
laszlo-bodrogi,32,768.5
david-etxebarria,33,760.0
paolo-savoldelli,34,759.0
olaf-pollack,35,751.0
andrei-kivilev,36,749.1
igor-astarloa-ascasibar,37,736.0
gianluca-bortolami,38,735.0
alexandre-vinokourov,39,729.0
tyler-hamilton,40,720.3
mikel-zarrabeitia,41,719.0
george-hincapie,42,704.9
oscar-sevilla,43,704.0
jaan-kirsipuu,44,697.0
aitor-osa,45,695.0
fabio-sacchi,46,687.0
fred-rodriguez,47,686.0
jose-bento-carvalho-de-azevedo,48,671.6
david-moncoutie,49,659.1
oscar-camenzind,50,654.0
kurt-asle-arvesen,51,652.0
michael-rich,52,652.0
felix-manuel-garcia-casas,53,644.0
laurent-dufaux,54,639.0
richard-virenque,55,628.0
bart-voskamp,56,626.0
fabian-cancellara,57,613.0
sergei-ivanov,58,610.2
franco-pellizotti,59,595.0
uwe-peschel,60,593.0
aitor-garmendia,61,585.0
steven-de-jongh,62,578.0
daniele-nardello,63,578.0
tom-boonen,64,571.5
stuart-o-grady,65,569.0
rik-verbrugghe,66,567.0
marcus-ljungqvist,67,565.0
rudi-kemna,68,564.0
gilberto-simoni,69,562.0
andrej-hauptman,70,559.0
fabiano-fontanelli,71,555.0
carlos-sastre,72,554.3
markus-zberg,73,554.0
patrice-halgand,74,554.0
guido-trentin,75,553.0
robert-hunter,76,546.0
jakob-piil,77,543.3
mirko-celestino,78,543.0
fernando-escartin,79,539.0
leonardo-piepoli,80,538.0
christophe-moreau,81,524.0
jan-svorada-1,82,523.5
andrea-tafi,83,522.5
marco-serpellini,84,522.5
haimar-zubeldia,85,522.0
pietro-caucchioli,86,512.0
rene-haselbacher,87,503.0
massimo-strazzer,88,503.0
giovanni-lombardi,89,502.0
bradley-mcgee,90,501.0
sylvain-chavanel,91,494.0
didier-rous,92,489.0
michael-rogers,93,488.0
massimiliano-gentili,94,487.0
manuel-beltran,95,483.0
david-millar,96,481.1
serhiy-honchar,97,480.2
thor-hushovd,98,479.0
jens-voigt,99,477.0
stefano-garzelli,100,476.0
erik-zabel,1,2145
alessandro-petacchi,2,2103
paolo-bettini,3,1875
alexandre-vinokourov,4,1798
alejandro-valverde,5,1655
iban-mayo,6,1650
tyler-hamilton,7,1586
davide-rebellin,8,1464
gilberto-simoni,9,1435
jan-ullrich,10,1341
dario-frigo,11,1326
francesco-casagrande,12,1272
danilo-di-luca,13,1253
francisco-mancebo,14,1203
michael-boogerd,15,1150
mirko-celestino,16,1119
baden-cooke,17,1110
robbie-mcewen,18,1083
luca-paolini,19,989
david-millar,20,978
igor-astarloa-ascasibar,21,972
jaan-kirsipuu,22,968
peter-van-petegem,23,944
michael-rogers,24,944
oscar-freire,25,943
michele-bartoli,26,937
laurent-brochard,27,935
ivan-basso,28,893
roberto-heras,29,883
stefano-garzelli,30,871
cedric-vasseur,31,857
christophe-moreau,32,842
stuart-o-grady,33,835
isidro-nozal-vega,34,805
serhiy-honchar,35,796
andrea-noe,36,793
felix-rafael-cardenas,37,784
haimar-zubeldia,38,782
viatcheslav-ekimov,39,758
sylvain-chavanel,40,755
dave-bruylandts,41,749
julian-dean,42,738
