rider_name,year,pcs_points
willy willems,1992,169.0
luis perez garcia,1992,168.0
alain van den bossche,1992,167.0
enrico zaina,1992,167.0
michael andersson,1992,167.0
francis moreau,1992,166.0
maarten den bakker,1992,165.0
laurent biondi,1992,164.0
herminio diaz zabala,1992,163.0
andrea tafi,1992,162.0
bjarne riis,1992,162.0
miguel angel martinez torres,1992,162.0
pedro manuel rodrigues silva,1992,161.0
abraham olano manzano,1992,160.0
steve bauer,1992,160.0
eric van lancker,1992,159.0
fabio rodriguez,1992,159.0
thierry laurent,1992,159.0
patrick deneut,1992,157.0
jaan kirsipuu,1992,156.0
patrice esnault,1992,156.0
laurent desbiens,1992,155.0
roberto torres,1992,155.0
bjorn stenersen,1992,154.0
francois lemarchand,1992,154.0
peter meinert nielsen,1992,154.0
giuseppe palumbo,1992,150.0
aitor garmendia,1992,149.0
jan bogaert,1992,149.0
julio cesar cadena,1992,149.0
philippe louviot,1992,148.0
erik dekker,1992,147.0
yvon madiot,1992,147.0
andy bishop,1992,146.0
dario bottaro,1992,145.0
john van den akker,1992,144.0
marco saligari,1992,144.0
patrick de wael,1992,141.0
peter roes,1992,138.0
massimo podenzana,1992,134.0
michel dernies,1992,131.0
felice puttini,1992,130.0
tom cordes,1992,129.0
herbert niederberger,1992,127.0
bart leysen,1992,126.0
jose roberto sierra aguerro,1992,125.0
valerio tebaldi,1992,125.0
asier guenetxea,1992,124.0
marc van orsouw,1992,123.0
patrick van roosbroeck,1992,122.0
andrei teteriouk,1992,120.0
fernando escartin,1992,120.0
jacques jolidon,1992,120.0
joaquim salgado,1992,120.0
nestor oswaldo mora,1992,120.0
nico emonds,1992,120.0
erwin thijs,1992,117.0
jorg muller,1992,117.0
ivan gotti,1992,116.0
bruno cenghialta,1992,115.0
cezary zamana,1992,115.0
kai hundertmarck,1992,114.0
luis alberto gonzalez,1992,114.0
alberto volpi,1992,113.0
juan tomas martinez,1992,113.0
ruber alverio marin,1992,112.0
giuseppe calcaterra,1992,111.0
peter farazijn,1992,111.0
delmino pereira,1992,108.0
frankie andreu,1992,105.0
gianluca pierobon,1992,105.0
michele coppolillo,1992,104.0
joaquim adrego pereira andrade,1992,103.0
romes gainetdinov,1992,103.0
jeremy hunt,1992,100.0
julio cesar,1992,100.0
marzio bruseghin,1992,100.0
nicola miceli,1992,100.0
steve swart,1992,100.0
tom stremersch,1992,100.0
martien kokkelkoren,1992,99.0
oleg tchujda,1992,99.0
henry cardenas,1992,98.0
mario kummer,1992,98.0
jose ramon uriarte,1992,97.0
eric de clercq,1992,96.0
erich machler,1992,95.0
jan karlsson 2,1992,95.0
gerrit de vries,1992,93.0
michel lafis,1992,93.0
remigius lupeikis,1992,93.0
ron kiefel,1992,93.0
jan schur,1992,92.0
mario scirea,1992,92.0
luc dierickx,1992,91.0
luis edgar espinosa sepulveda,1992,91.0
orlando sergio rodrigues,1992,91.0
markus zberg,1992,90.0
peter van petegem,1992,89.0
thierry gouvenou,1992,89.0
franck morelle,1992,87.0
rob mulders,1992,87.0
angel edo,1992,85.0
paulo pinto,1992,85.0
peter naessens,1992,85.0
germano pierdomenico,1992,84.0
guy nulens,1992,84.0
marcello siboni,1992,83.0
roberto pelliconi,1992,83.0
carmelo miranda,1992,82.0
darren baker,1992,82.0
marco pantani,1992,81.0
jose jaime gonzalez,1992,80.0
marc wauters,1992,79.0
tristan hoffman,1992,79.0
peter spaenhoven,1992,78.0
stefano zanatta,1992,78.0
alberto leanizbarrutia abaunza,1992,77.0
pierre herinne,1992,77.0
mike engleman,1992,76.0
danny daelman,1992,75.0
francisque teyssier,1992,75.0
jorge manuel dos santos silva,1992,75.0
marino alonso,1992,75.0
michel vanhaecke,1992,75.0
nate reiss,1992,75.0
simone biasci,1992,75.0
fabrizio bontempi,1992,74.0
johan verstrepen,1992,74.0
manuel cunha tavares,1992,74.0
fernando quevedo,1992,72.0
